Date,Open,High,Low,Close
12/6/2020,596.57,606.79,584.41,601.91
12/7/2020,601.80,602.92,585.43,591.84
12/8/2020,591.90,594.75,552.47,554.83
12/9/2020,554.79,577.29,533.00,573.48
12/10/2020,573.50,574.60,549.78,559.68
12/11/2020,559.68,560.38,537.81,545.80
12/12/2020,545.58,573.34,545.25,568.57
12/13/2020,568.61,593.78,564.57,589.66
12/14/2020,589.78,590.49,577.12,586.01
12/15/2020,586.02,596.25,580.63,589.36
12/16/2020,589.38,636.64,582.04,636.18
12/17/2020,636.15,673.83,628.75,642.87
12/18/2020,642.92,662.70,632.36,654.81
12/19/2020,654.62,668.77,646.62,659.30
12/20/2020,659.19,659.92,625.01,638.29
12/21/2020,638.32,646.85,600.84,609.82
12/22/2020,609.42,635.08,589.55,634.85
12/23/2020,634.82,637.12,560.36,583.71
12/24/2020,584.14,613.82,568.60,611.61
12/25/2020,611.55,633.06,605.42,626.41
12/26/2020,626.50,650.72,617.40,635.84
12/27/2020,635.89,711.39,628.33,682.64
12/28/2020,683.21,745.88,683.21,730.40
12/29/2020,730.36,737.95,692.15,731.52
12/30/2020,731.47,754.30,720.99,751.62
